activity_id,team_id,type,date,team_name,home_away,rotated_session,data_saved,stats_saved
5775,175,official,20200101,anonymous,A,1,1,0
5844,174,official,20200101,anonymous,H,2,1,0
5825,127,official,20200101,anonymous,A,1,1,0
5840,165,official,20200101,anonymous,H,2,1,0
5780,136,official,20200101,anonymous,A,1,1,0
5876,152,official,20200101,anonymous,A,2,1,0
5896,87,official,20200101,anonymous,H,2,1,0
5875,11,official,20200101,anonymous,A,2,1,0
5885,9,official,20200101,anonymous,A,1,1,0
5869,69,official,20200101,anonymous,H,2,1,0
5877,153,official,20200101,anonymous,H,1,1,0
5992,92,official,20200101,anonymous,H,1,1,0
5938,40,official,20200101,anonymous,H,2,1,0
6131,87,official,20200101,anonymous,A,2,1,0
6036,11,official,20200101,anonymous,H,1,1,0
6570,123,official,20200101,anonymous,H,1,1,0
6082,174,official,20200101,anonymous,A,2,1,0
6088,9,official,20200101,anonymous,A,1,1,0
6083,43,official,20200101,anonymous,H,1,1,0
6158,165,official,20200101,anonymous,A,1,1,0
6145,136,official,20200101,anonymous,A,2,1,0
6108,175,official,20200101,anonymous,H,1,1,0
6130,69,official,20200101,anonymous,H,2,1,0
6136,92,official,20200101,anonymous,A,2,1,0
6161,40,official,20200101,anonymous,A,2,1,0
6152,153,official,20200101,anonymous,A,1,1,0
6182,152,official,20200101,anonymous,H,1,1,0
6107,127,official,20200101,anonymous,H,2,1,0
6458,136,official,20200101,anonymous,H,1,1,0
6390,174,official,20200101,anonymous,A,2,1,0
6386,9,official,20200101,anonymous,H,1,1,0
6446,165,official,20200101,anonymous,H,2,1,0
6437,87,official,20200101,anonymous,A,2,1,0
6406,11,official,20200101,anonymous,H,1,1,0
6459,92,official,20200101,anonymous,A,2,1,0
6409,43,official,20200101,anonymous,A,1,1,0
6423,40,official,20200101,anonymous,H,1,1,0
6759,123,official,20200101,anonymous,H,1,1,0
6535,175,official,20200101,anonymous,A,2,1,0
6487,152,official,20200101,anonymous,H,1,1,0
6433,127,official,20200101,anonymous,A,2,1,0
6702,92,official,20200101,anonymous,H,1,1,0
6763,123,official,20200101,anonymous,H,1,1,0
6671,87,official,20200101,anonymous,H,2,1,0
6638,11,official,20200101,anonymous,A,2,1,0
6652,9,official,20200101,anonymous,A,1,1,0
6632,127,official,20200101,anonymous,H,2,1,0
6701,165,official,20200101,anonymous,A,2,1,0
6662,40,official,20200101,anonymous,A,1,1,0
6736,152,official,20200101,anonymous,H,1,1,0
6747,136,official,20200101,anonymous,A,1,1,0
6735,175,official,20200101,anonymous,A,2,1,0
6687,43,official,20200101,anonymous,H,1,1,0
6841,9,official,20200101,anonymous,H,1,1,0
6904,123,official,20200101,anonymous,A,2,1,0
6859,136,official,20200101,anonymous,H,1,1,0
6871,92,official,20200101,anonymous,H,1,1,0
6858,43,official,20200101,anonymous,A,2,1,0
6889,152,official,20200101,anonymous,H,1,1,0
6892,165,official,20200101,anonymous,A,1,1,0
6861,11,official,20200101,anonymous,A,2,1,0
6872,69,official,20200101,anonymous,A,2,1,0
6866,40,official,20200101,anonymous,H,1,1,0
6965,175,official,20200101,anonymous,H,1,1,0
6888,93,official,20200101,anonymous,A,1,1,0
6886,127,official,20200101,anonymous,A,2,1,0
7136,165,official,20200101,anonymous,H,2,1,0
7125,93,official,20200101,anonymous,A,1,1,0
7036,40,official,20200101,anonymous,H,1,1,0
7063,152,official,20200101,anonymous,H,2,1,0
7583,123,official,20200101,anonymous,H,1,1,0
7098,136,official,20200101,anonymous,A,2,1,0
7045,175,official,20200101,anonymous,H,1,1,0
7046,11,official,20200101,anonymous,H,1,1,0
7065,9,official,20200101,anonymous,A,2,1,0
7150,69,official,20200101,anonymous,H,2,1,0
7048,92,official,20200101,anonymous,A,2,1,0
7059,43,official,20200101,anonymous,A,1,1,0
7044,127,official,20200101,anonymous,H,2,1,0
7419,87,official,20200101,anonymous,H,2,1,0
7406,93,official,20200101,anonymous,H,2,1,0
7392,9,official,20200101,anonymous,H,1,1,0
7422,92,official,20200101,anonymous,H,1,1,0
7393,43,official,20200101,anonymous,H,1,1,0
7412,40,official,20200101,anonymous,A,1,1,0
7398,152,official,20200101,anonymous,A,1,1,0
7587,123,official,20200101,anonymous,H,1,1,0
7426,165,official,20200101,anonymous,A,2,1,0
7414,136,official,20200101,anonymous,H,1,1,0
7420,175,official,20200101,anonymous,A,1,1,0
7402,11,official,20200101,anonymous,H,1,1,0
7403,69,official,20200101,anonymous,H,2,1,0
7400,127,official,20200101,anonymous,A,2,1,0
7494,93,official,20200101,anonymous,H,2,1,0
7527,43,official,20200101,anonymous,A,1,1,0
7529,152,official,20200101,anonymous,H,2,1,0
7588,123,official,20200101,anonymous,A,2,1,0
7533,165,official,20200101,anonymous,H,2,1,0
7540,136,official,20200101,anonymous,A,1,1,0
7521,175,official,20200101,anonymous,H,1,1,0
7523,127,official,20200101,anonymous,A,1,1,0
7640,93,official,20200101,anonymous,A,1,1,0
7638,11,official,20200101,anonymous,A,2,1,0
7669,40,official,20200101,anonymous,H,1,1,0
7636,127,official,20200101,anonymous,H,2,1,0
7704,123,official,20200101,anonymous,H,1,1,0
7742,165,official,20200101,anonymous,H,2,1,0
7724,136,official,20200101,anonymous,A,2,1,0
7657,87,official,20200101,anonymous,A,1,1,0
7649,69,official,20200101,anonymous,H,2,1,0
7688,152,official,20200101,anonymous,A,1,1,0
7684,175,official,20200101,anonymous,H,1,1,0
7713,43,official,20200101,anonymous,A,2,1,0
7738,40,official,20200101,anonymous,H,1,1,0
7776,87,official,20200101,anonymous,A,2,1,0
7753,11,official,20200101,anonymous,H,1,1,0
7825,9,official,20200101,anonymous,A,2,1,0
7824,69,official,20200101,anonymous,A,1,1,0
7780,8,official,20200101,anonymous,A,2,1,0
8021,123,official,20200101,anonymous,A,1,1,0
7885,175,official,20200101,anonymous,A,1,1,0
7960,87,official,20200101,anonymous,H,2,1,0
7882,93,official,20200101,anonymous,H,2,1,0
7896,92,official,20200101,anonymous,H,1,1,0
7884,152,official,20200101,anonymous,A,1,1,0
7904,127,official,20200101,anonymous,H,2,1,0
7918,8,official,20200101,anonymous,H,1,1,0
7931,165,official,20200101,anonymous,A,2,1,0
7926,136,official,20200101,anonymous,H,1,1,0
7892,11,official,20200101,anonymous,A,1,1,0
7897,9,official,20200101,anonymous,H,1,1,0
7898,69,official,20200101,anonymous,A,2,1,0
7900,43,official,20200101,anonymous,H,1,1,0
7941,40,official,20200101,anonymous,A,2,1,0
8022,123,official,20200101,anonymous,A,1,1,0
8018,175,official,20200101,anonymous,A,1,1,0
7986,152,official,20200101,anonymous,H,2,1,0
8013,165,official,20200101,anonymous,H,2,1,0
8016,136,official,20200101,anonymous,H,1,1,0
8011,93,official,20200101,anonymous,A,2,1,0
8008,43,official,20200101,anonymous,H,1,1,0
8205,127,official,20200101,anonymous,A,2,1,0
8034,9,official,20200101,anonymous,H,1,1,0
8041,92,official,20200101,anonymous,A,2,1,0
8105,165,official,20200101,anonymous,H,2,1,0
8162,136,official,20200101,anonymous,A,1,1,0
8081,93,official,20200101,anonymous,H,2,1,0
8084,43,official,20200101,anonymous,A,1,1,0
8142,152,official,20200101,anonymous,A,2,1,0
8206,127,official,20200101,anonymous,A,1,1,0
8089,175,official,20200101,anonymous,H,1,1,0
8141,11,official,20200101,anonymous,A,2,1,0
8108,9,official,20200101,anonymous,A,2,1,0
8087,69,official,20200101,anonymous,H,2,1,0
8088,92,official,20200101,anonymous,A,1,1,0
8113,40,official,20200101,anonymous,H,1,1,0
8106,8,official,20200101,anonymous,A,2,1,0
8599,165,official,20200101,anonymous,A,1,1,0
8546,175,official,20200101,anonymous,H,1,1,0
8610,93,official,20200101,anonymous,A,2,1,0
8557,9,official,20200101,anonymous,A,2,1,0
8641,69,official,20200101,anonymous,A,2,1,0
8576,43,official,20200101,anonymous,H,1,1,0
8568,153,official,20200101,anonymous,H,1,1,0
8574,87,official,20200101,anonymous,H,2,1,0
8562,11,official,20200101,anonymous,A,2,1,0
8617,92,official,20200101,anonymous,H,1,1,0
8616,40,official,20200101,anonymous,A,2,1,0
8624,152,official,20200101,anonymous,A,1,1,0
8565,127,official,20200101,anonymous,H,2,1,0
8570,8,official,20200101,anonymous,A,1,1,0
8791,165,official,20200101,anonymous,H,2,1,0
8814,93,official,20200101,anonymous,A,1,1,0
8805,11,official,20200101,anonymous,A,2,1,0
8826,92,official,20200101,anonymous,H,1,1,0
8792,40,official,20200101,anonymous,H,1,1,0
8834,152,official,20200101,anonymous,H,2,1,0
8818,8,official,20200101,anonymous,H,1,1,0
8829,175,official,20200101,anonymous,A,2,1,0
8809,9,official,20200101,anonymous,H,1,1,0
8810,69,official,20200101,anonymous,H,2,1,0
8813,43,official,20200101,anonymous,A,1,1,0
8846,153,official,20200101,anonymous,A,1,1,0
8966,165,official,20200101,anonymous,A,1,1,0
8937,93,official,20200101,anonymous,H,2,1,0
8933,9,official,20200101,anonymous,H,1,1,0
8984,69,official,20200101,anonymous,H,2,1,0
8929,153,official,20200101,anonymous,A,2,1,0
8960,152,official,20200101,anonymous,A,2,1,0
8962,175,official,20200101,anonymous,A,1,1,0
8965,87,official,20200101,anonymous,H,2,1,0
8935,11,official,20200101,anonymous,H,1,1,0
9009,92,official,20200101,anonymous,A,1,1,0
8970,43,official,20200101,anonymous,A,1,1,0
8983,40,official,20200101,anonymous,H,1,1,0
8944,8,official,20200101,anonymous,A,2,1,0
9078,165,official,20200101,anonymous,H,2,1,0
9040,93,official,20200101,anonymous,H,2,1,0
9064,152,official,20200101,anonymous,H,2,1,0
9281,165,official,20200101,anonymous,H,2,1,0
9270,11,official,20200101,anonymous,H,1,1,0
9279,92,official,20200101,anonymous,A,2,1,0
9285,40,official,20200101,anonymous,A,2,1,0
9276,9,official,20200101,anonymous,A,2,1,0
9272,69,official,20200101,anonymous,H,2,1,0
9341,69,official,20200101,anonymous,H,2,1,0
9400,11,official,20200101,anonymous,A,1,1,0
9342,40,official,20200101,anonymous,A,2,1,0
12888,92,official,20200101,anonymous,H,1,1,0
12881,93,official,20200101,anonymous,A,1,1,0
12868,86,official,20200101,anonymous,A,1,1,0
12871,174,official,20200101,anonymous,H,2,1,0
12866,69,official,20200101,anonymous,H,2,1,0
12870,91,official,20200101,anonymous,H,1,1,0
12910,153,official,20200101,anonymous,A,1,1,0
12943,127,official,20200101,anonymous,H,2,1,0
12864,8,official,20200101,anonymous,H,2,1,0
12895,123,official,20200101,anonymous,A,1,1,0
12890,165,official,20200101,anonymous,H,2,1,0
12911,136,official,20200101,anonymous,A,2,1,0
12887,175,official,20200101,anonymous,H,1,1,0
12892,11,official,20200101,anonymous,H,2,1,0
13044,123,official,20200101,anonymous,H,1,1,0
13050,165,official,20200101,anonymous,A,2,1,0
13098,136,official,20200101,anonymous,H,1,1,0
13043,86,official,20200101,anonymous,H,1,1,0
13081,91,official,20200101,anonymous,A,2,1,0
13089,92,official,20200101,anonymous,A,1,1,0
13055,127,official,20200101,anonymous,A,2,1,0
13073,175,official,20200101,anonymous,A,2,1,0
13077,93,official,20200101,anonymous,H,1,1,0
13095,11,official,20200101,anonymous,H,2,1,0
13100,174,official,20200101,anonymous,A,1,1,0
13076,69,official,20200101,anonymous,A,2,1,0
13075,153,official,20200101,anonymous,H,1,1,0
13078,8,official,20200101,anonymous,A,2,1,0
13207,11,official,20200101,anonymous,A,2,1,0
13215,123,official,20200101,anonymous,H,1,1,0
13214,136,official,20200101,anonymous,A,2,1,0
13278,93,official,20200101,anonymous,A,2,1,0
13216,86,official,20200101,anonymous,H,1,1,0
13213,174,official,20200101,anonymous,A,2,1,0
13212,69,official,20200101,anonymous,A,2,1,0
13224,91,official,20200101,anonymous,H,1,1,0
13229,153,official,20200101,anonymous,A,2,1,0
13225,165,official,20200101,anonymous,H,2,1,0
13226,175,official,20200101,anonymous,H,1,1,0
13253,92,official,20200101,anonymous,H,1,1,0
13231,127,official,20200101,anonymous,A,2,1,0
13227,8,official,20200101,anonymous,H,1,1,0
13312,123,official,20200101,anonymous,A,2,1,0
13313,136,official,20200101,anonymous,H,1,1,0
13319,93,official,20200101,anonymous,H,1,1,0
13352,91,official,20200101,anonymous,A,2,1,0
13343,165,official,20200101,anonymous,A,2,1,0
13339,175,official,20200101,anonymous,A,2,1,0
13349,127,official,20200101,anonymous,H,2,1,0
13448,86,official,20200101,anonymous,A,1,1,0
13475,165,official,20200101,anonymous,A,2,1,0
13484,93,official,20200101,anonymous,A,2,1,0
13471,174,official,20200101,anonymous,H,2,1,0
13488,92,official,20200101,anonymous,A,2,1,0
13479,8,official,20200101,anonymous,A,1,1,0
13500,123,official,20200101,anonymous,H,1,1,0
13505,136,official,20200101,anonymous,A,1,1,0
13503,175,official,20200101,anonymous,H,1,1,0
13540,11,official,20200101,anonymous,H,1,1,0
13504,69,official,20200101,anonymous,H,2,1,0
13541,91,official,20200101,anonymous,A,2,1,0
13501,153,official,20200101,anonymous,A,2,1,0
13695,69,official,20200101,anonymous,H,2,1,0
13732,11,official,20200101,anonymous,H,1,1,0
13683,86,official,20200101,anonymous,A,1,1,0
13740,92,official,20200101,anonymous,A,2,1,0
13681,8,official,20200101,anonymous,A,2,1,0
13721,174,official,20200101,anonymous,A,2,1,0
