activity_id,player_period,form_period,role_period,session,start_dt,end_dt,duration,player_id,squad_num,player_name,base_role,x,y,formation,aligned_role
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,1759,10,P10,3,489.0,-573.0,433,RCM
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,1760,14,P14,4,789.0,1417.0,433,LM
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,1761,15,P15,5,604.0,422.0,433,LCM
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,1766,20,P20,6,-1267.0,-396.0,433,RCB
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,1232,22,P22,7,447.0,-1551.0,433,RM
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,1235,23,P23,8,-785.0,-1556.0,433,RB
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,1227,33,P33,9,-550.0,1762.0,433,LB
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,1925,38,P38,10,-1162.0,864.0,433,LCB
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,3298,6,P06,1,-233.0,-164.0,433,CDM
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,1252,9,P09,2,1669.0,-225.0,433,CF
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,1759,10,P10,3,489.0,-573.0,433,RCM
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,1760,14,P14,5,604.0,422.0,433,LCM
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,1761,15,P15,4,789.0,1417.0,433,LM
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,1766,20,P20,6,-1267.0,-396.0,433,RCB
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,1232,22,P22,8,-785.0,-1556.0,433,RB
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,1235,23,P23,7,447.0,-1551.0,433,RM
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,1227,33,P33,9,-550.0,1762.0,433,LB
1952,1,1,2,1,2020-01-01 14:36:50,2020-01-01 14:47:00,610,1925,38,P38,10,-1162.0,864.0,433,LCB
1952,2,2,3,2,2020-01-01 15:02:00,2020-01-01 15:26:00,1440,3298,6,P06,1,-86.0,-545.0,4231,RDM
1952,2,2,3,2,2020-01-01 15:02:00,2020-01-01 15:26:00,1440,1248,7,P07,4,798.0,1584.0,4231,LM
1952,2,2,3,2,2020-01-01 15:02:00,2020-01-01 15:26:00,1440,1252,9,P09,2,1547.0,461.0,4231,CF
1952,2,2,3,2,2020-01-01 15:02:00,2020-01-01 15:26:00,1440,1759,10,P10,5,-275.0,441.0,4231,LDM
1952,2,2,3,2,2020-01-01 15:22:18,2020-01-01 15:26:00,222,1760,14,P14,3,1161.0,-441.0,4231,CAM
1952,2,2,3,2,2020-01-01 15:02:00,2020-01-01 15:26:00,1440,1766,20,P20,6,-1177.0,-593.0,4231,RCB
1952,2,2,3,2,2020-01-01 15:02:00,2020-01-01 15:26:00,1440,1232,22,P22,8,-833.0,-1456.0,4231,RB
1952,2,2,3,2,2020-01-01 15:02:00,2020-01-01 15:26:00,1440,1235,23,P23,7,675.0,-1521.0,4231,RM
1952,2,2,3,2,2020-01-01 15:02:00,2020-01-01 15:26:00,1440,1227,33,P33,9,-655.0,1469.0,4231,LB
1952,2,2,3,2,2020-01-01 15:02:00,2020-01-01 15:26:00,1440,1925,38,P38,10,-1155.0,603.0,4231,LCB
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,780,3298,6,P06,5,-275.0,441.0,4231,LDM
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,780,1248,7,P07,4,798.0,1584.0,4231,LM
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,780,1252,9,P09,2,1547.0,461.0,4231,CF
