activity_id,date,team_name,player_id,squad_num,player_name
6892,20200101,anonymous,3780,5,P05
6892,20200101,anonymous,3780,5,P05
6892,20200101,anonymous,3787,13,P13
6892,20200101,anonymous,3794,20,P20
6892,20200101,anonymous,3802,28,P28
6892,20200101,anonymous,4052,30,P30
6892,20200101,anonymous,1862,50,P50
6892,20200101,anonymous,3808,77,P77
6892,20200101,anonymous,3883,88,P88
7136,20200101,anonymous,3780,5,P05
7136,20200101,anonymous,3781,6,P06
7136,20200101,anonymous,3784,9,P09
7136,20200101,anonymous,3787,13,P13
7136,20200101,anonymous,3789,15,P15
7136,20200101,anonymous,3793,19,P19
7136,20200101,anonymous,3794,20,P20
7136,20200101,anonymous,4052,30,P30
7136,20200101,anonymous,1862,50,P50
7136,20200101,anonymous,3883,88,P88
7426,20200101,anonymous,3778,3,P03
7426,20200101,anonymous,3785,10,P10
7426,20200101,anonymous,3786,11,P11
7426,20200101,anonymous,3789,15,P15
7426,20200101,anonymous,3790,16,P16
7426,20200101,anonymous,3798,24,P24
7426,20200101,anonymous,3802,28,P28
7426,20200101,anonymous,1862,50,P50
7426,20200101,anonymous,3883,88,P88
7533,20200101,anonymous,3778,3,P03
7533,20200101,anonymous,3780,5,P05
7533,20200101,anonymous,3783,8,P08
7533,20200101,anonymous,3784,9,P09
7533,20200101,anonymous,3785,10,P10
7533,20200101,anonymous,3786,11,P11
7533,20200101,anonymous,3789,15,P15
7533,20200101,anonymous,3793,19,P19
7533,20200101,anonymous,3800,26,P26
7533,20200101,anonymous,3802,28,P28
7533,20200101,anonymous,4052,30,P30
7533,20200101,anonymous,3883,88,P88
7742,20200101,anonymous,3780,5,P05
7742,20200101,anonymous,3781,6,P06
7742,20200101,anonymous,3783,8,P08
7742,20200101,anonymous,3784,9,P09
7742,20200101,anonymous,3786,11,P11
7742,20200101,anonymous,3787,13,P13
7742,20200101,anonymous,3788,14,P14
7742,20200101,anonymous,3790,16,P16
7742,20200101,anonymous,3793,19,P19
7742,20200101,anonymous,1862,50,P50
7742,20200101,anonymous,3883,88,P88
7931,20200101,anonymous,3780,5,P05
7931,20200101,anonymous,3781,6,P06
7931,20200101,anonymous,3784,9,P09
7931,20200101,anonymous,3785,10,P10
7931,20200101,anonymous,3786,11,P11
7931,20200101,anonymous,3787,13,P13
7931,20200101,anonymous,3789,15,P15
7931,20200101,anonymous,3793,19,P19
7931,20200101,anonymous,3800,26,P26
7931,20200101,anonymous,3802,28,P28
7931,20200101,anonymous,4052,30,P30
7931,20200101,anonymous,1862,50,P50
7931,20200101,anonymous,3883,88,P88
8013,20200101,anonymous,3778,3,P03
8013,20200101,anonymous,3780,5,P05
8013,20200101,anonymous,3783,8,P08
8013,20200101,anonymous,3784,9,P09
8013,20200101,anonymous,3785,10,P10
8013,20200101,anonymous,3786,11,P11
8013,20200101,anonymous,3787,13,P13
8013,20200101,anonymous,3789,15,P15
8013,20200101,anonymous,3793,19,P19
8013,20200101,anonymous,3800,26,P26
8013,20200101,anonymous,3802,28,P28
8013,20200101,anonymous,1862,50,P50
8013,20200101,anonymous,3883,88,P88
8105,20200101,anonymous,3778,3,P03
8105,20200101,anonymous,3780,5,P05
8105,20200101,anonymous,3781,6,P06
8105,20200101,anonymous,3783,8,P08
8105,20200101,anonymous,3785,10,P10
8105,20200101,anonymous,3786,11,P11
8105,20200101,anonymous,3789,15,P15
8105,20200101,anonymous,3793,19,P19
8105,20200101,anonymous,3802,28,P28
8105,20200101,anonymous,4052,30,P30
8105,20200101,anonymous,1862,50,P50
8105,20200101,anonymous,3808,77,P77
8105,20200101,anonymous,3883,88,P88
8599,20200101,anonymous,3778,3,P03
8599,20200101,anonymous,3780,5,P05
8599,20200101,anonymous,3784,9,P09
8599,20200101,anonymous,3785,10,P10
8599,20200101,anonymous,3786,11,P11
8599,20200101,anonymous,3787,13,P13
8599,20200101,anonymous,3789,15,P15
8599,20200101,anonymous,3793,19,P19
8599,20200101,anonymous,3798,24,P24
8599,20200101,anonymous,3800,26,P26
8599,20200101,anonymous,3802,28,P28
8599,20200101,anonymous,1862,50,P50
8599,20200101,anonymous,3883,88,P88
8791,20200101,anonymous,3777,2,P02
8791,20200101,anonymous,3778,3,P03
8791,20200101,anonymous,3778,3,P03
8791,20200101,anonymous,3781,6,P06
8791,20200101,anonymous,3783,8,P08
8791,20200101,anonymous,3785,10,P10
8791,20200101,anonymous,3786,11,P11
8791,20200101,anonymous,3789,15,P15
8791,20200101,anonymous,3793,19,P19
8791,20200101,anonymous,3883,88,P88
8966,20200101,anonymous,3778,3,P03
8966,20200101,anonymous,3780,5,P05
8966,20200101,anonymous,3784,9,P09
8966,20200101,anonymous,3787,13,P13
8966,20200101,anonymous,3789,15,P15
8966,20200101,anonymous,3793,19,P19
8966,20200101,anonymous,3794,20,P20
8966,20200101,anonymous,3802,28,P28
8966,20200101,anonymous,1862,50,P50
8966,20200101,anonymous,3882,52,P52
8966,20200101,anonymous,3808,77,P77
8966,20200101,anonymous,3883,88,P88
9078,20200101,anonymous,3780,5,P05
9078,20200101,anonymous,3781,6,P06
9078,20200101,anonymous,3784,9,P09
9078,20200101,anonymous,3785,10,P10
9078,20200101,anonymous,3786,11,P11
9078,20200101,anonymous,3787,13,P13
9078,20200101,anonymous,3789,15,P15
9078,20200101,anonymous,3793,19,P19
9078,20200101,anonymous,3800,26,P26
9078,20200101,anonymous,3802,28,P28
9078,20200101,anonymous,3808,77,P77
9078,20200101,anonymous,3883,88,P88
9281,20200101,anonymous,3777,2,P02
9281,20200101,anonymous,3778,3,P03
9281,20200101,anonymous,3780,5,P05
9281,20200101,anonymous,3784,9,P09
9281,20200101,anonymous,3785,10,P10
9281,20200101,anonymous,3786,11,P11
9281,20200101,anonymous,3787,13,P13
9281,20200101,anonymous,3789,15,P15
9281,20200101,anonymous,3793,19,P19
9281,20200101,anonymous,3800,26,P26
9281,20200101,anonymous,3802,28,P28
9281,20200101,anonymous,1862,50,P50
9281,20200101,anonymous,3883,88,P88
3521,20200101,anonymous,3592,3,P03
3521,20200101,anonymous,3593,4,P04
3521,20200101,anonymous,3594,5,P05
3521,20200101,anonymous,3595,6,P06
3521,20200101,anonymous,3598,9,P09
3521,20200101,anonymous,3599,10,P10
